title,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,subject_race,subject_sex,lead_actor_actress
I'm Not There.,US/Canada,2007,$4M,Todd Haynes,1,Bob Dylan,Musician,White,Male,-
La Vie en Rose,Canada/UK,2007,$10.3M,Olivier Dahan,1,Ìädith Piaf.,Singer,White,Female,Marion Cotillard
Music Within,US,2007,$153K,Steven Sawalich,1,Richard Pimentel,Activist,Multi racial,Male,Ron Livingston
Persepolis,US,2007,$4.44M,"Vincent Paronnaud, Marjane Satrapi",1,Marjane 'Marji' Satrapi,Activist,Middle Eastern,Female,Chiara Mastroianni
Talk to Me,US,2007,$4.47M,Kasi Lemmons,1,"Ralph ""Petey"" Greene",Activist,African American,Male,Don Cheadle
The Assassination of Jesse James by the Coward Robert Ford,US/UK/Canada,2007,$3.9M,Andrew Dominik,2,Jesse James ,Criminal,White,Male,Brad Pitt
The Diving Bell and the Butterfly,US,2007,$5.99M,Julian Schnabel,1,Jean-Dominique Bauby,Media,White,Male,Mathieu Amalric
The Great Debaters,US,2007,$30.2M,Denzel Washington,1,Melvin Tolson,Academic,African American,Male,Denzel Washington
When Did You Last See Your Father?,UK,2007,$1.07M,Anand Tucker,1,Blake Morrison,Other,White,Male,Colin Firth
21,US,2008,$81.2M,Robert Luketic,1,Jeff Ma,Other,Asian American,Male,Jim Sturgess
Cadillac Records,US,2008,$8.13M,Darnell Martin,3,Etta James,Singer,African American,Female,BeyoncÌ© Knowles
Cadillac Records,US,2008,$8.13M,Darnell Martin,3,Muddy Water,Musician,African American,Male,Jeffrey Wright
Cadillac Records,US,2008,$8.13M,Darnell Martin,3,Leonard Chess,Musician,White,Male,Adrien Brody
Che: Part One,US,2008,$1.73M,Steven Soderbergh,1,Che Guevara,Activist,Hispanic (Latin American),Male,Benicio Del Toro
Hunger,UK,2008,$154K,Steve McQueen,1,Bobby Sands,Activist,White,Male,Michael Fassbender
Little Ashes,UK,2008,$480K,Paul Morrison,1,Salvador DalÌ_,Artist,Multi racial,Male,Robert Pattinson
Mesrine Part 1: Killer Instinct,Canada,2008,$552K,Jean-FranÌ¤ois Richet,1,Jacques Mesrine,Criminal,White,Male,Vincent Cassel
Mesrine Part 2: Public Enemy #1,Canada,2008,$275K,Jean-FranÌ¤ois Richet,1,Jacques Mesrine,Criminal,White,Male,Vincent Cassel
Milk,US,2008,$31.8M,Gus Van Sant,1,Harvey Milk,Activist,White,Male,Sean Penn
The Duchess,US/UK,2008,$13.8M,Saul Dibb,1,Georgiana Cavendish,Other,White,Female,Keira Knightley
The Edge of Love,UK,2008,$28.6K,John Maybury,1,Dylan Thomas,Author (poet),White,Male,Matthew Rhys
The Express,US,2008,$9.59M,Gary Fleder,1,Ernie Davis,Athlete,African American,Male,Rob Brown
The Longshots,US,2008,$11.5M,Fred Durst,1,Jasmine Plummer,Athlete,African American,Female,Keke Palmer
The Other Boleyn Girl,US/UK,2008,$26.8M,Justin Chadwick,2,Anne Boleyn,Historical,White,Female,Natalie Portman
The Other Boleyn Girl,US/UK,2008,$26.8M,Justin Chadwick,2,Mary Boleyn,Historical,White,Female,Scarlett Johansson
The Red Baron,UK,2008,$36.6K,Nikolai MÌÄå_llerschÌÄå¦n,1,Baron Manfred von Richthofen,Military,White,Male,Matthias SchweighÌ¦fer
W.,US,2008,$25.5M,Oliver Stone,1,George W. Bush,World leader,White,Male,Josh Brolin
Amelia,US/Canada,2009,$14.2M,Mira Nair,1,Amelia Earhart,Other,White,Female,Hilary Swank
Bright Star,UK,2009,$4.44M,Jane Campion,2,John Keats,Author (poet),White,Male,Ben Whishaw
Desert Flower,UK,2009,$44.3K,Sherry Hormann,1,Waris Dirie,Activist,African,Female,Soraya Omar-Scego (young) and Liya Kebede (older)
Invictus,US,2009,$37.5M,Clint Eastwood,2,Nelson Mandela,World leader,African,Male,Morgan Freeman
Invictus,US,2009,$37.5M,Clint Eastwood,2,FranÌ¤ois Pienaar,Athlete,White,Male,Matt Damon
My One and Only,US,2009,$2.48M,Richard Loncraine,1,George Hamilton,Other,White,Male,Logan Lerman
Notorious,US,2009,$36.8M,George Tillman Jr.,1,Christopher Wallace (Biggie Smalls),Musician,Caribbean,Male,Jamal Woolard
Nowhere Boy,Canada/UK,2009,$1.45M,Sam Taylor-Johnson,1,John Lennon,Musician,White,Male,Aaron Taylor-Johnson
The Blind Side,US,2009,$256M,John Lee Hancock,1,Michael Oher,Athlete,African American,Male,Quinton Aaron
The Last Station,UK,2009,$6.62M,Michael Hoffman,1,Leo Tolstoy,Author,White,Male,Christopher Plummer
The Soloist,US/UK,2009,$31.7M,Joe Wright,2,Nathaniel Ayers,Musician,African American,Male,Jamie Foxx
The Young Victoria,US/UK,2009,$11M,Jean-Marc VallÌ©e,1,Victoria,Historical,White,Female,Emily Bunt
Fair Game,US,2010,$9.53M,Doug Liman,1,Valerie Plame,Government,White,Female,Naomi Watts
Frankie & Alice,Canada,2010,$693K,Geoffrey Sax,1,Frankie Murdoch,Other,African American,Female,Halle Berry
Howl,US,2010,$617K,"Rob Epstein, Jeffrey Friedman",1,Allen Ginsberg,Author,White,Male,James Franco
The Fighter,US,2010,$93.6M,David O. Russell,1,Micky Ward,Athlete,White,Male,Mark Wahlberg
The First Grader,US,2010,$331K,Justin Chadwick,1,Kimani Ng‰Ûªang‰Ûªa Maruge,Other,African,Male,Oliver Litondo
The King's Speech,US/UK,2010,$139M,Tom Hooper,1,King George VI,Historical,White,Male,Colin Firth
The Runaways,US,2010,$3.57M,Floria Sigismondi,2,Joan Jett,Musician,White,Female,Kristen Stewart
The Whistleblower,US/Canada,2010,$1.12M,Larysa Kondracki,1,Kathryn Bolkovac,Other,White,Female,Rachel Weisz
A Dangerous Method,Canada/UK,2011,$5.7M,David Cronenberg,3,Carl Gustav Jung,Academic,White,Male,Michael Fassbender
A Dangerous Method,Canada/UK,2011,$5.7M,David Cronenberg,3,Sigmund Freud,Academic,White,Male,Viggo Mortensen
A Dangerous Method,Canada/UK,2011,$5.7M,David Cronenberg,3,Sabina Spielrein,Academic,White,Female,Keira Knightley
J. Edgar,US,2011,$37.3M,Clint Eastwood,1,J. Edgar Hoover,Government,White,Male,Leonardo DiCaprio
Kill the Irishman,US,2011,$1.19M,Jonathan Hensleigh,1,Danny Greene,Criminal,White,Male,Ray Stevenson
Machine Gun Preacher,US,2011,$538K,Marc Forster,1,Sam Childers,Other,White,Male,Gerard Butler
Moneyball,US,2011,$75.6M,Bennett Miller,1,Billy Beane,Athlete,White,Male,Brad Pitt
The Iron Lady,UK,2011,$30M,Phyllida Lloyd,1,Margaret Thatcher,World leader,White,Female,Meryl Streep
Hitchcock,US/UK,2012,$6M,Sacha Gervasi,2,Alfred Hitchcock,Other,White,Male,Anthony Hopkins
Hitchcock,US/UK,2012,$6M,Sacha Gervasi,2,Alma Reville,Other,White,Female,Helen Mirren
Hyde Park on Hudson,UK,2012,$6.37M,Roger Michell,2,Franklin Delano Roosevelt,World leader,White,Male,Bill Murray
Lincoln,US,2012,$182M,Steven Spielberg,1,Abraham Lincoln,World leader,White,Male,Daniel Day-Lewis
The Iceman,US,2012,$1.94M,Ariel Vromen,1,Richard Kuklinski,Criminal,White,Male,Michael Shannon
12 Years a Slave,US/UK,2013,$56.7M,Steve McQueen,1, Solomon Northup,Other,African American,Male,Chiwetel Ejiofor
42,US,2013,$95M, Brian Helgeland,1,Jackie Robinson,Athlete,African American,Male,Chadwick Boseman
Blue Caprice,US,2013,$86.7K,Alexandre Moors,1,John Allen Muhammad,Criminal,African American,Male,Isaiah Washington
Diana,UK,2013,$332K,Oliver Hirschbiegel,1,Princess Diana,Other,White,Female,Naomi Watts
Fruitvale Station,US,2013,$16.1M,Ryan Coogler,1,Oscar Grant III,Other,African American,Male,Michael B. Jordan
Jimi: All Is by My Side,US/UK,2013,$323K,John Ridley,1,Jimi Hendrix,Musician,Multi racial,Male,AndrÌ© Benjamin
Jobs,US,2013,$16.1M,Joshua Michael Stern,1,Steve Jobs,Other,Multi racial,Male,Ashton Kutcher
Kill Your Darlings,US,2013,$1.03M,John Krokidas,1,Allen Ginsberg ,Author,White,Male,Daniel Radcliffe
Lee Daniels' The Butler,US,2013,$117M,Lee Daniels,1,Cecil Gaines,Other,African American,Male,Forest Whitaker
Lovelace,US,2013,$355K,"Rob Epstein, Jeffrey Friedman",1,Linda Lovelace,Actress,White,Female,Amanda Seyfried
Mandela: Long Walk to Freedom,UK,2013,$8.32M,Justin Chadwick,1,Nelson Mandela,World leader,African,Male,Idris Elba
Philomena,US/UK,2013,$37.7M,Stephen Frears,1,Philomena Lee,Other,White,Female,Judi Dench
Rush,US/UK,2013,$26.9M,Ron Howard,2,James Hunt,Athlete,White,Male,Chris Hemsworth
Rush,US/UK,2013,$26.9M,Ron Howard,2,Niki Lauda,Athlete,White,Male,Daniel BrÌ_hl
Saving Mr. Banks,US/UK,2013,$83.3M,John Lee Hancock,2,Walt Disney,Other,White,Male,Tom Hanks
Saving Mr. Banks,US/UK,2013,$83.3M,John Lee Hancock,2,P.L. Travers,Author,White,Female,Emma Thompson
The Fifth Estate,US,2013,$3.25M,Bill Condon,1,Julian Assange,Other,White,Male,Benedict Cumberbatch
The Invisible Woman,UK,2013,$1.23M,Ralph Fiennes,1,Charles Dickens,Author,White,Male,Ralph Fiennes
The Last of Robin Hood,US,2013,$270K,"Richard Glatzer, Wash Westmoreland",1,Errol Flynn,Actor,White,Male,Kevin Kline
Big Eyes,US/Canada,2014,$14.5M,Tim Burton,1,Margaret Keane,Artist,White,Female,Amy Adams
Cesar Chavez,US,2014,$5.55M,Diego Luna,1,Cesar Chavez,Activist,Hispanic (Latino),Male,Michael PeÌ±a
Desert Dancer,UK,2014,$144K,Richard Raymond,1,Afshin Ghaffarian,Artist,Middle Eastern,Male,Reece Ritchie
Exodus: Gods and Kings,UK,2014,$65M,Ridley Scott,1,Moses,Historical,Middle Eastern (White),Male,Christian Bale
Foxcatcher,US,2014,$12.1M,Bennett Miller,1,Mark Schultz ,Athlete,White,Male,Channing Tatum
Get on Up,US/UK,2014,$30.5M,Tate Taylor,1,James Brown,Singer,African American,Male,Chadwick Boseman
Jersey Boys,US,2014,$47M,Clint Eastwood,4,Bob Gaudio,Musician,White,Male,Erich Bergen
Jersey Boys,US,2014,$47M,Clint Eastwood,4,Frankie Valli,Musician,White,Male,John Lloyd Young
